,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
41,K.Pickett,00-0038102,188.0,6.714285714285714,53.0,1.0,8.0,28.0,2.0,0.5283018867924528,-0.5431639990429151,62.0,2.2142857142857144,0.10308716946747137,-0.5284833906478043,0.008337288384839384,-0.019595600105855152,0,8.0,0.0,0,0.018867924528301886,0.03773584905660377,K.Pickett,0.0,22.0,4.4,9.719999999999999
42,L.Jackson,00-0034796,2549.0,13.276041666666666,340.0,21.0,109.0,192.0,7.0,0.5647058823529412,0.019223111819451938,1064.0,5.541666666666667,0.5849190620001171,-0.34427065303806637,0.0065624812171965925,0.0036529590337665615,1,36.0,5.0,3,0.061764705882352944,0.020588235294117647,L.Jackson,2.0,349.0,5.208955223880597,214.85999999999999
43,M.Brosmer,00-0040494,328.0,6.9787234042553195,85.0,0.0,18.0,47.0,4.0,0.5529411764705883,-0.6887101106733254,249.0,5.297872340425532,-0.10648546829691766,-0.3133867580147672,-0.0057384948894663515,-0.001882429955972695,0,14.0,3.0,2,0.0,0.047058823529411764,M.Brosmer,0.0,11.0,1.5714285714285714,2.2199999999999993
44,M.Jones,00-0036972,2151.0,10.701492537313433,307.0,13.0,107.0,201.0,6.0,0.6547231270358306,0.12456036569732268,957.0,4.7611940298507465,0.37939415653441766,-0.13989113280957832,0.0013363463824434586,0.006274555832194499,1,16.0,3.0,2,0.04234527687296417,0.019543973941368076,M.Jones,0.0,60.0,1.6666666666666667,130.04000000000002
45,M.Mariota,00-0032268,1695.0,12.194244604316546,246.0,10.0,79.0,139.0,7.0,0.5650406504065041,-0.015847853837264,639.0,4.597122302158273,0.874400491522651,-0.7443163001349465,-0.00720275415116363,0.008771710082005866,1,16.0,1.0,1,0.04065040650406504,0.028455284552845527,M.Mariota,1.0,297.0,5.94,129.5
46,M.Penix,00-0039917,1982.0,11.939759036144578,290.0,9.0,99.0,166.0,3.0,0.5724137931034483,-0.0038424588507882072,888.0,5.349397590361446,0.5546505912814044,-0.4594479072768294,0.005269929636562636,-0.0009931502611079937,1,13.0,3.0,2,0.03103448275862069,0.010344827586206896,M.Penix,1.0,70.0,3.3333333333333335,120.28
47,M.Rudolph,00-0034771,310.0,8.157894736842104,54.0,2.0,17.0,38.0,2.0,0.7037037037037037,0.046358586797181384,254.0,6.684210526315789,-0.033960739602872166,0.20642470238812743,0.001110251695031106,-0.003518003865217394,0,2.0,1.0,1,0.037037037037037035,0.037037037037037035,M.Rudolph,0.0,6.0,0.8571428571428571,14.999999999999998
48,M.Stafford,00-0026498,4707.0,12.131443298969073,620.0,46.0,236.0,388.0,8.0,0.6258064516129033,0.2273050794622054,1850.0,4.768041237113402,0.6169948061765583,-0.30098745630654866,0.00218849569891504,0.007793277969490269,0,23.0,4.0,2,0.07419354838709677,0.012903225806451613,M.Stafford,0.0,1.0,0.034482758620689655,352.38
49,M.Trubisky,00-0033869,313.0,12.52,37.0,4.0,19.0,25.0,0.0,0.6756756756756757,0.6955263546394327,136.0,5.44,0.6941465821591134,0.03809556417400002,0.0014211067390740059,0.006407288681818361,1,0.0,0.0,0,0.10810810810810811,0.0,M.Trubisky,0.0,6.0,0.6666666666666666,31.12
50,M.Willis,00-0038128,422.0,14.066666666666666,38.0,3.0,19.0,30.0,0.0,0.7894736842105263,0.739063818045666,126.0,4.2,0.7281372436779617,0.16975618585757915,0.001398050872385149,0.031770822865192096,0,3.0,0.0,0,0.07894736842105263,0.0,M.Willis,2.0,123.0,5.590909090909091,53.18
